title,labels,context,requirements,branch,execution,commit_message
Expand synthetic canary coverage beyond liveness to full critical user-facing paths,"Stellar Wave, tooling","`scripts/synthetic-canary.ts` and `.github/workflows/synthetic-canary.yml` currently verify basic liveness, but don't exercise the full critical path a real integrator depends on (e.g. a full read-then-verify-consistency flow against the indexer), so a subtler functional regression could pass the canary while still being broken for real usage.","- Identify the full set of critical user-facing paths that matter for integrator trust, not just ""is it up""
- Extend the synthetic canary to exercise each path end-to-end with correctness assertions, not just HTTP 200 checks
- Ensure canary failures page appropriately and link directly to the relevant runbook section
- Document the covered paths and their pass/fail criteria",feat/synthetic-canary-critical-path-coverage,- Expand synthetic canary from liveness checks to full critical-path correctness assertions,feat: expand synthetic canary coverage to full critical user-facing paths
Audit and prune existing alert rules against real incident history,"Stellar Wave, tooling",The current alert-rule set has likely accumulated noise and gaps over time with no systematic review against what actually happened during real incidents — this audit closes that loop using the postmortem history as ground truth.,"- Cross-reference every existing alert rule against the postmortem/incident history: did it fire appropriately, too often, too late, or not at all for real incidents
- Prune or retune rules found to be pure noise; add rules for any incident class that had no corresponding alert
- Document the audit methodology so it can be repeated periodically rather than being a one-time exercise
- Track and report the alert-to-real-incident precision/recall before and after the audit",chore/alert-rule-audit-against-incident-history,- Audit existing alert rules against real incident history and prune/add rules accordingly,chore: audit and retune alert rules against real incident history
Link every paging alert directly to its docs/incident-response.md runbook section,"Stellar Wave, tooling",An on-call responder currently has to manually search `docs/incident-response.md` to find the relevant procedure for a given page — every paging alert should link directly to its exact runbook section to cut response time during an actual incident.,"- Audit every paging alert rule and ensure a corresponding, specific runbook section exists in `docs/incident-response.md`
- Add the direct runbook-section link/anchor into each alert's payload/notification
- Close any gap where an alert has no corresponding documented procedure
- Add a CI or scheduled check that fails if a new alert is added without a matching runbook link",chore/alert-runbook-linking-automation,"- Link every paging alert to its specific docs/incident-response.md runbook section, enforced in CI",chore: link every paging alert directly to its incident-response runbook section
Build a per-service cost-attribution dashboard,"Stellar Wave, tooling","There's currently no clear breakdown of infrastructure spend per service (indexer/oracle-service/notifications/workers), which makes it impossible to make informed scaling and optimization tradeoffs ahead of mainnet cost planning.","- Instrument and/or configure cloud-provider cost-allocation tags per service
- Build a dashboard breaking down compute, storage, and network spend per service over time
- Cross-reference against the load-test and capacity-planning findings elsewhere in this batch to project mainnet-scale cost
- Document the methodology so cost attribution stays accurate as new services are added",feat/per-service-cost-attribution-dashboard,"- Add per-service cost-attribution dashboard covering indexer, oracle-service, notifications, and workers",feat: add per-service cost-attribution dashboard
Audit and enforce log-correlation ID propagation across all services,"Stellar Wave, tooling","End-to-end request tracing depends on a consistent correlation ID being propagated through every service hop, but this isn't currently audited or enforced — a gap anywhere in the chain breaks incident-response log correlation exactly when it matters most.","- Audit every inter-service call path for correlation-ID propagation and identify any gaps
- Standardize the correlation-ID header/field name and propagation mechanism across all services
- Add a lint/CI check or integration test that fails if a new inter-service call path is added without correlation-ID propagation
- Document the standard in `docs/monitoring.md`",chore/log-correlation-id-propagation-audit,- Audit and enforce consistent log-correlation-ID propagation across all inter-service calls,chore: audit and enforce log-correlation-ID propagation across all services
Automate zero-downtime secrets rotation for all service credentials,"Stellar Wave, tooling","Service credentials (oracle-service upstream API keys, notifications provider keys, indexer RPC keys) currently have no automated rotation procedure — long-lived, manually-rotated (or never-rotated) secrets are an unacceptable operational risk for a mainnet financial protocol.","- Inventory every service credential across `oracle-service`, `notifications`, and `indexer`, noting current rotation cadence (if any)
- Implement automated rotation with a dual-credential overlap window so rotation never causes downtime
- Add alerting for any credential approaching its maximum age without rotation
- Document the rotation procedure and cadence per credential type",feat/automated-secrets-rotation,- Automate zero-downtime rotation with overlap window for all service credentials,feat: automate zero-downtime rotation for all service credentials
Audit the pnpm workspace for dependency-confusion and typosquatting exposure,"Stellar Wave, research","A monorepo with many internal `packages/` scoped packages is a classic target for dependency-confusion attacks if any internal package name isn't properly reserved/scoped on the public registry — this needs a systematic audit before mainnet, not an assumption of safety.","- Enumerate every internal workspace package name and verify it's properly scoped and either published-and-owned or explicitly reserved on the public npm registry
- Audit `pnpm-workspace.yaml` and lockfile resolution for any path that could resolve an internal package name to an unexpected public package
- Add a CI check (extending `scripts/check-no-foreign-lockfiles.mjs`'s spirit) that fails on any unexpected external resolution of an internal package name
- Document findings and remediation in a security note",chore/dependency-confusion-audit,- Audit and harden the pnpm workspace against dependency-confusion and typosquatting exposure,chore: audit and harden workspace against dependency-confusion attacks
Add SLSA provenance generation to the release pipeline,"Stellar Wave, tooling","`.github/workflows/release.yml` and `sdk-release.yml` currently produce release artifacts with no cryptographically verifiable provenance, meaning a consumer has no way to verify a published SDK/CLI artifact actually came from this exact CI run and source.","- Integrate SLSA provenance generation (e.g. via `slsa-github-generator`) into the release workflows for SDK and CLI artifacts
- Publish provenance attestations alongside each release artifact
- Document how integrators can verify provenance before trusting a published artifact
- Add a CI check that fails the release if provenance generation fails, rather than shipping unattested",feat/release-slsa-provenance,- Add SLSA provenance generation and attestation publishing to the SDK/CLI release pipeline,feat: add SLSA provenance generation to the release pipeline
Verify reproducible builds for SDK and CLI release artifacts,"Stellar Wave, tooling","There's currently no verification that building the SDK/CLI from a given source commit twice, independently, produces bit-identical output — reproducible builds are a meaningful trust signal ahead of external audit and should be verified, not assumed.","- Audit the build process for any source of non-determinism (timestamps, absolute paths, unordered map iteration in generated output, etc.)
- Fix identified non-determinism sources
- Add a CI job that builds the same commit twice in independent environments and diffs the output, failing on mismatch
- Document the reproducibility guarantee and verification method for external auditors",chore/reproducible-build-verification,- Eliminate build non-determinism and add CI verification of reproducible SDK/CLI builds,chore: verify and enforce reproducible SDK/CLI builds
Scope and plan a third-party penetration test with a remediation-tracking process,"Stellar Wave, research","Ahead of mainnet, this repo's services (indexer public API, oracle-service, notifications, SDK) need an external penetration test — this issue is the scoping, vendor-evaluation, and remediation-tracking-process work, not the test execution itself.","- Define the pentest scope explicitly (which services, which attack classes, what's out of scope) referencing `docs/threat-model.md`
- Evaluate and select a pentest vendor with relevant experience (Soroban/Stellar ecosystem preferred)
- Design a remediation-tracking process (severity triage, SLA per severity, verification-of-fix requirement) before findings arrive
- Document the scoping decisions and process in `docs/security-audit-report.md`",docs/pentest-scoping-and-remediation-process,- Scope third-party penetration test and design remediation-tracking process ahead of mainnet,docs: scope third-party penetration test and remediation-tracking process
Design and launch a bug bounty program,"Stellar Wave, research","`docs/vulnerability-disclosure.md` documents a disclosure process, but there's currently no structured bug bounty program (scope, reward tiers, triage SLA) to actively incentivize external security researchers ahead of mainnet.","- Define program scope (in-scope services/repos, out-of-scope items), severity taxonomy, and reward tiers appropriate for a pre-mainnet financial protocol
- Stand up the intake and triage process, cross-referencing `docs/vulnerability-disclosure.md` for consistency
- Select and configure a bounty platform or self-hosted process
- Publish the program and cross-link from `SECURITY.md`",docs/bug-bounty-program-launch,"- Design scope, rewards, and triage process for a bug bounty program, then launch it",docs: design and launch bug bounty program ahead of mainnet
Close remaining gaps from docs/secrets-baseline-audit.md with automated pre-commit enforcement,"Stellar Wave, tooling","`docs/secrets-baseline-audit.md` documents findings from a prior secrets audit, but any remaining gaps need to be closed and, critically, enforced automatically going forward rather than relying on manual vigilance (`.secrets.baseline` and `gitleaks.toml` exist but their enforcement completeness against the documented findings hasn't been verified).","- Re-verify every finding in `docs/secrets-baseline-audit.md` is actually closed, not just documented as planned
- Ensure gitleaks (`gitleaks.toml`, `.github/workflows/gitleaks-reaudit.yml`) enforcement covers every gap category found in the original audit
- Add pre-commit hook enforcement so a secret can't even be committed locally, not just caught in CI after push
- Update `docs/secrets-baseline-audit.md` to reflect final closure status",chore/secrets-baseline-gap-closure,- Close remaining secrets-baseline audit gaps and add pre-commit secret-scanning enforcement,chore: close secrets-baseline audit gaps with pre-commit enforcement
Harden externally-exposed indexer and oracle-service endpoints against abuse with rate limiting,"Stellar Wave, research","The indexer's public read API and any externally-reachable oracle-service endpoints currently lack systematic rate-limiting and abuse-prevention, leaving them exposed to both accidental overload from a misbehaving integrator and deliberate abuse.","- Audit every externally-exposed endpoint across indexer and oracle-service for current rate-limiting coverage
- Add consistent, configurable rate limiting (per-IP and/or per-API-key) with clear error responses on limit exceeded
- Add abuse-pattern detection (e.g. credential stuffing patterns, scraping patterns) with alerting
- Load-test the rate limiting itself to confirm it holds under a simulated abusive traffic pattern",feat/api-rate-limiting-abuse-prevention,- Add consistent rate limiting and abuse-pattern detection to externally-exposed indexer/oracle-service endpoints,feat: harden externally-exposed endpoints with rate limiting and abuse detection
Audit service-to-service credentials and cloud IAM roles for least-privilege,"Stellar Wave, research","Service-to-service credentials and cloud IAM roles across `indexer`, `oracle-service`, and `notifications` have likely accumulated broader permissions than strictly needed over the course of development — this needs a systematic least-privilege audit ahead of mainnet.","- Enumerate every service-to-service credential and cloud IAM role in use across the three services
- For each, determine the actual minimum required permission set and compare against the currently granted permissions
- Tighten every over-permissioned credential/role, verifying nothing breaks
- Document the audited permission model so future additions default to least-privilege",chore/least-privilege-credential-audit,- Audit and tighten all service-to-service credentials and cloud IAM roles to least-privilege,chore: audit and tighten credentials/IAM roles to least-privilege
Refresh the formal threat model to incorporate oracle-manipulation and indexer-reorg attack classes,"Stellar Wave, research","`docs/threat-model.md` needs a refresh incorporating the attack classes this batch is specifically addressing (oracle price manipulation, indexer chain-reorg edge cases) which likely weren't fully modeled in the original threat model.","- Add explicit threat-model entries for oracle price-manipulation vectors and indexer reorg/data-integrity attack classes
- Cross-reference each new entry against the specific mitigations implemented elsewhere in this batch, closing the loop between threat and mitigation
- Identify and flag any threat-model entry that still has no corresponding mitigation
- Get the refreshed threat model reviewed against `docs/security-audit-report.md`",docs/threat-model-refresh-oracle-indexer,- Refresh docs/threat-model.md with oracle-manipulation and indexer-reorg attack classes and their mitigations,docs: refresh threat model with oracle-manipulation and indexer-reorg attack classes
Expand mutation-testing coverage to indexer and oracle-service critical paths,"Stellar Wave, testing","`docs/mutation-testing.md` establishes the practice, but mutation testing coverage of the indexer's event-processing and oracle-service's aggregation logic — arguably the two most correctness-critical code paths in this repo — needs to be verified and expanded, not assumed adequate.","- Run mutation testing against indexer event-processing and oracle-service aggregation/validation logic specifically
- Identify surviving mutants (bugs the existing test suite wouldn't catch) and add tests killing them
- Set and enforce a minimum mutation-score threshold for these two critical-path areas in CI
- Update `docs/mutation-testing.md` with the new scope and thresholds",test/mutation-testing-indexer-oracle-expansion,- Expand mutation testing to indexer and oracle-service critical paths with an enforced score threshold,test: expand mutation testing to indexer and oracle-service critical paths
Build a chaos-engineering harness for network partitions between services,"Stellar Wave, testing","There's currently no systematic way to inject network partitions or latency between indexer, oracle-service, and notifications in a staging environment — most of the resilience work elsewhere in this batch needs this harness to actually verify its claims under realistic failure conditions.","- Build tooling to inject configurable network partitions, latency, and packet loss between services in a staging deployment
- Wire the harness into a repeatable chaos-test suite covering the resilience features implemented elsewhere in this batch
- Run the suite on a schedule (not just manually) and alert on any regression in resilience behavior
- Document the harness and how to add new chaos scenarios",feat/chaos-engineering-network-partition-harness,"- Build network-partition/latency-injection chaos harness for staging, run on a schedule",feat: add chaos-engineering harness for inter-service network partitions
Harden the flaky-test quarantine process with automatic re-quarantine on repeat flake,"Stellar Wave, testing","`docs/flaky-test-quarantine.md` documents the quarantine process, but a test un-quarantined after a fix currently has no automatic re-quarantine if it flakes again — this allows a genuinely-still-flaky test to keep destabilizing CI after a failed fix attempt.","- Add automatic detection of repeat flakiness (a test flaking again within N runs of being un-quarantined) and automatically re-quarantine it
- Track quarantine history per test to surface tests that have repeatedly failed to be genuinely fixed
- Add reporting on quarantine-list age and churn to surface tests that have been ""temporarily"" quarantined for too long
- Update `docs/flaky-test-quarantine.md` with the hardened process",chore/flaky-test-auto-requarantine,- Add automatic re-quarantine and quarantine-history tracking to the flaky-test process,chore: harden flaky-test quarantine with automatic re-quarantine on repeat flake
Expand e2e test scope to cover the full disaster-recovery restore path,"Stellar Wave, testing","`docs/e2e-test-scope.md` doesn't currently cover the full disaster-recovery restore path end-to-end — this is exactly the kind of path that's untested until a real disaster forces it to run for the first time, which is the worst possible time to find a bug in it.","- Add an e2e test scenario that actually executes backup → restore → integrity-verification for the indexer against a realistic dataset
- Cover the notifications and oracle-service restore paths as well if they maintain persisted state
- Run this scenario regularly (not just once), since restore-path correctness can silently regress
- Update `docs/e2e-test-scope.md` with the new coverage",test/e2e-disaster-recovery-restore-path,- Add regularly-run e2e test covering the full backup/restore/integrity-verification disaster-recovery path,test: add e2e coverage for the full disaster-recovery restore path
Add a contract-level integration test suite verifying SDK behavior against every documented ABI entry,"Stellar Wave, testing","`docs/contract-abi-compatibility.md` documents ABI compatibility, but there's no test suite that systematically exercises every documented ABI entry through the SDK against a live testnet contract to verify the SDK's handling actually matches — gaps here are exactly how a subtle SDK/contract mismatch reaches production undetected.","- Enumerate every documented ABI entry in `docs/contract-abi-compatibility.md`
- Add an integration test per entry that exercises it through the SDK against a live testnet contract instance
- Fail CI on any entry with no corresponding test (coverage-gap enforcement, not just presence of some tests)
- Run this suite on every SDK release candidate before publish",test/sdk-full-abi-integration-suite,- Add integration test suite exercising every documented ABI entry through the SDK against live testnet,test: add full-ABI SDK integration test suite against live testnet
Add property-based fuzz testing for indexer event-processing logic,"Stellar Wave, testing",Indexer event-processing logic is currently tested with example-based unit tests only — property-based fuzzing against malformed and edge-case event shapes is needed to find the failure modes example-based tests won't think to cover.,"- Introduce a property-based testing framework for the indexer's event-processing layer
- Define invariants that must hold regardless of input shape (no crash, no silent data corruption, malformed input routes to the dead-letter path from elsewhere in this batch)
- Run fuzz campaigns as part of CI with a time/iteration budget, and persist and re-run any discovered failing case as a regression test
- Document the fuzzing setup and discovered-and-fixed issues",test/indexer-property-based-fuzzing,- Add property-based fuzz testing with persisted regression corpus for indexer event-processing,test: add property-based fuzz testing for indexer event-processing logic
"Extend the load-test harness to a realistic mainnet traffic shape, not synthetic uniform load","Stellar Wave, testing","`docs/load-test-harness.md` and `scripts/load-test.ts`/`load-test-indexer.ts` currently generate synthetic, likely-uniform load — real mainnet traffic is bursty and correlated with on-chain events, and the harness needs a realistic traffic-shape mode to produce trustworthy capacity numbers.","- Model a realistic mainnet traffic shape (bursts correlated with block production / on-chain events, diurnal patterns) rather than uniform request-per-second load
- Extend the load-test scripts to support this traffic-shape mode alongside the existing uniform mode
- Re-run capacity planning for indexer, oracle-service, and notifications under the realistic shape and compare against prior uniform-load numbers
- Document results and any capacity gap discovered in `docs/load-test-harness.md`",test/load-harness-realistic-traffic-shape,- Add realistic bursty/correlated mainnet traffic-shape mode to the load-test harness,test: extend load-test harness to a realistic mainnet traffic shape
Expand test-runtime budget enforcement to the full monorepo,"Stellar Wave, testing","`docs/test-runtime-budgets.md` establishes the practice for some scope, but coverage across the full monorepo (all of `backend/`, `sdk/`, `indexer/`, `oracle-service/`, `notifications/`, `cli/`) needs to be verified and expanded so runtime regressions can't creep in unmonitored anywhere in the tree.","- Audit which packages currently have enforced runtime budgets versus which don't
- Set and enforce budgets for every remaining package's test suite
- Wire budget violations to fail CI, consistent with the existing enforced packages
- Update `docs/test-runtime-budgets.md` and `docs/ci-duration-cost-audit.md` with full-monorepo numbers",chore/test-runtime-budget-full-monorepo,- Expand enforced test-runtime budgets to every package in the monorepo,chore: expand test-runtime budget enforcement to the full monorepo
Eliminate remaining mocked fixtures identified in docs/sdk-integration-fixture-audit.md,"Stellar Wave, testing","`docs/sdk-integration-fixture-audit.md` documents which SDK integration tests still rely on mocked fixtures rather than live testnet fixtures — given the frontend repo's governance integration was previously found to be entirely mocked, this class of gap deserves a dedicated closure pass here too.","- Re-verify the current state of every fixture flagged in `docs/sdk-integration-fixture-audit.md`
- Replace remaining mocked fixtures with live testnet-backed fixtures where feasible, documenting any that must legitimately remain mocked and why
- Add a CI check that fails if a new SDK integration test introduces an undocumented mock of a live-chain interaction
- Update `docs/sdk-integration-fixture-audit.md` with final closure status",test/sdk-fixture-audit-closure,- Replace remaining mocked SDK integration fixtures with live testnet fixtures per the audit,test: close remaining SDK integration-fixture audit gaps with live testnet fixtures
Add a cross-repo contract test suite verifying SDK/deployed-ABI compatibility on every release,"Stellar Wave, testing",There's currently no automated check that this repo's SDK stays compatible with the smart-contract repo's actually-deployed ABI on every SDK release — a contract change deployed without a corresponding SDK update could silently break every SDK consumer.,"- Design a cross-repo contract test that pulls the current deployed testnet ABI from the smart-contract repo and verifies the SDK's understanding of it matches
- Wire this test into the SDK release pipeline (`.github/workflows/sdk-release.yml`) as a release gate, not just a periodic check
- Coordinate with the smart-contract repo on how ABI changes get surfaced to trigger this check (via `docs/cross-repo-sync.md`'s existing pattern)
- Document the guarantee this test provides for integrators",test/cross-repo-sdk-abi-compatibility-gate,- Add cross-repo SDK/deployed-ABI compatibility test as a release gate,test: add cross-repo SDK/deployed-ABI compatibility gate to the release pipeline
Add canary releases with automated rollback on SLO regression for indexer/oracle-service/notifications,"Stellar Wave, tooling",Deployments currently go straight to full production traffic with no canary phase — a regression introduced by a release is discovered by the full user base at once rather than being caught and auto-rolled-back against a small canary slice first.,"- Implement a canary deployment stage routing a small percentage of traffic to the new version before full rollout
- Wire canary health against the SLOs/burn-rate alerting defined elsewhere in this batch, with automatic rollback on regression
- Define and document the canary duration and promotion criteria per service
- Add a drill that deliberately deploys a regression and verifies the canary catches and rolls it back",feat/canary-deployment-automated-rollback,"- Add canary deployment stage with SLO-based automated rollback for indexer, oracle-service, notifications",feat: add canary releases with automated rollback on SLO regression
"Turn docs/release-runbook.md's manual steps into a scripted, auditable release pipeline","Stellar Wave, tooling","`docs/release-runbook.md` currently documents manual steps for a human to follow — every manual step is a place for human error, and a production protocol's release process needs to be scripted and auditable, not procedural documentation alone.","- Audit every manual step in `docs/release-runbook.md` and convert each to a scripted, idempotent action where feasible
- Add an audit log of every release action taken (who/what/when) for post-release review
- Keep an explicit, minimized list of any steps that genuinely require human judgment, documented as such
- Update `docs/release-runbook.md` to reflect the new scripted process",chore/scripted-auditable-release-pipeline,"- Convert docs/release-runbook.md's manual steps into a scripted, audit-logged release pipeline",chore: script and audit-log the release runbook's manual steps
Implement the highest-impact optimizations identified in docs/ci-duration-cost-audit.md,"Stellar Wave, tooling",`docs/ci-duration-cost-audit.md` documents findings but the highest-impact optimizations it identified need to actually be implemented — an audit that doesn't get acted on doesn't reduce CI cost or duration.,"- Re-review `docs/ci-duration-cost-audit.md`'s findings and rank by impact-to-effort
- Implement the top-ranked optimizations (caching, parallelization, job right-sizing, etc.)
- Measure and document the actual before/after CI duration and cost impact
- Update `docs/ci-duration-cost-audit.md` with implementation status and measured results",chore/ci-cost-audit-optimization-implementation,"- Implement the highest-impact CI duration/cost optimizations from the prior audit, with measured results",chore: implement highest-impact CI duration/cost optimizations from the audit
Harden coordinated cross-repo releases for partial-failure rollback,"Stellar Wave, tooling","`.github/workflows/coordinate-release.yml` coordinates releases across the three repos, but its behavior when one repo's release step fails partway through a coordinated release isn't hardened — a partial failure could leave the three repos in an inconsistent, undocumented state.","- Define and implement explicit partial-failure handling: which already-completed steps get rolled back vs. which are irreversible and need a documented forward-fix path
- Add alerting that clearly identifies a partial-failure state and what manual intervention (if any) is needed
- Add a drill that deliberately fails one repo's step mid-coordinated-release and verifies the defined handling actually occurs
- Document the partial-failure behavior in `docs/cross-repo-sync.md`",fix/coordinated-release-partial-failure-handling,"- Add explicit, drilled partial-failure handling to the coordinated cross-repo release workflow",fix: harden coordinated cross-repo release workflow against partial failure
Expand monorepo-map drift enforcement to catch undocumented new services/packages,"Stellar Wave, tooling","`scripts/check-monorepo-map-drift.mjs` and `docs/monorepo-map.md` currently catch drift for documented entities, but need to be verified to actually catch the case of an entirely new, undocumented service or package being added without being reflected in the map at all.","- Verify the current drift check actually fails when a new top-level service/package directory is added without a corresponding `docs/monorepo-map.md` entry
- Close any gap found (e.g. if the check only validates entries that already exist in the doc rather than scanning the filesystem for unlisted entities)
- Add a test case that adds a fake new package and confirms the CI check fails appropriately
- Document the enforcement guarantee",fix/monorepo-map-drift-new-package-detection,"- Harden monorepo-map drift check to detect entirely new, undocumented services/packages",fix: harden monorepo-map drift check to catch undocumented new packages
Build an automated API-versioning compatibility checker into CI,"Stellar Wave, tooling","`docs/api-versioning-migration.md` documents the versioning policy, but there's no automated checker verifying actual API changes comply with it — compliance currently depends on a reviewer remembering to check manually.","- Translate the policy in `docs/api-versioning-migration.md` into automatable rules (e.g. no removing a field from a stable API version, deprecation window requirements)
- Build a CI check that diffs the API surface per PR and flags/fails on policy violations
- Pilot against recent API history to confirm it would have caught (or correctly not flagged) real past changes
- Document the automated check and how to request an intentional exception",feat/api-versioning-compatibility-checker,- Add automated CI checker enforcing docs/api-versioning-migration.md's compatibility policy,feat: add automated API-versioning compatibility checker to CI
Audit semantic-release configuration for changelog/version-bump accuracy across all publishable packages,"Stellar Wave, tooling","`.releaserc.json` and `commitlint.config.js` drive semantic-release, but with multiple publishable packages in `packages/`, `sdk/`, and `cli/`, there's a real risk of a package's version or changelog going stale or inconsistent — this needs a systematic accuracy audit.","- Audit every publishable package's actual released version history against its changelog and the commits that should have triggered each bump
- Identify and fix any package with inaccurate/missing changelog entries or an inconsistent versioning history
- Add a verification check confirming every future release correctly updates the relevant package's changelog
- Document the audit findings and the ongoing verification mechanism",chore/semantic-release-accuracy-audit,- Audit and fix semantic-release changelog/version-bump accuracy across all publishable packages,chore: audit and fix semantic-release accuracy across all publishable packages
Harden the docs-link-check and cli-docs pipelines against silent partial failures,"Stellar Wave, tooling","Building on the recent CI fixes for dead links and the cli-docs build, this issue is a deeper hardening pass ensuring these pipelines fail loudly on any partial failure (e.g. a subset of files silently skipped) rather than passing with incomplete coverage.","- Audit `.github/workflows/docs-link-check.yml` and `cli-docs.yml` for any code path where a file or section could be silently skipped rather than checked
- Add explicit coverage assertions (e.g. ""N files were checked"" compared against an expected count) that fail the build on an unexpected drop
- Add a regression test that deliberately introduces a skippable-but-broken case and confirms the pipeline now catches it
- Document the hardened guarantee",fix/docs-pipeline-silent-failure-hardening,- Add coverage assertions to docs-link-check and cli-docs pipelines to catch silent partial failures,fix: harden docs-link-check and cli-docs pipelines against silent partial failures
Execute a full indexer backup/restore drill against a production-sized snapshot and record real RTO/RPO,"Stellar Wave, tooling","`docs/mainnet-deployment-dry-run.md` covers deployment, but the indexer's documented backup/restore procedure has never actually been executed end-to-end against a production-sized dataset with real timings recorded — recovery objectives are currently theoretical, not measured.","- Produce or acquire a production-sized indexer snapshot for the drill
- Execute the full documented backup → restore → integrity-verification procedure and record actual wall-clock RTO and data-loss window (RPO)
- Compare measured numbers against any previously assumed/target RTO/RPO and flag any gap
- Document the drill results and update the recovery procedure with any fixes found necessary",docs/indexer-backup-restore-drill,- Execute full indexer backup/restore drill against a production-sized snapshot and record real RTO/RPO,docs: execute and document indexer backup/restore drill with measured RTO/RPO
Run the emergency-pause rehearsal end-to-end and document real timings,"Stellar Wave, tooling","`docs/emergency-pause-rehearsal.md` documents the intended rehearsal, but this issue is to actually execute it end-to-end for real and record the true timings and any friction encountered, rather than leaving it as an unexecuted plan.","- Execute the documented emergency-pause rehearsal against a staging environment as close to production topology as feasible
- Record real timings for every step (detection → decision → execution → confirmation) and any friction/ambiguity encountered
- Fix any procedural or tooling gap discovered during the rehearsal
- Update `docs/emergency-pause-rehearsal.md` with the actual results and any process changes",docs/emergency-pause-rehearsal-execution,- Execute emergency-pause rehearsal end-to-end against staging and document real timings,docs: execute emergency-pause rehearsal and document real timings
Run a multi-service outage game-day simulating simultaneous indexer and oracle-service failure,"Stellar Wave, tooling","Individual service failure modes are covered elsewhere in this batch, but a simultaneous multi-service failure — a more realistic and more severe incident class — hasn't been validated against the incident-response runbook as a combined scenario.","- Design a game-day scenario simulating simultaneous indexer and oracle-service failure against staging
- Execute the scenario with the on-call team following `docs/incident-response.md` as written, without pre-briefing the exact failure
- Record what worked, what was ambiguous, and any runbook gap discovered under the combined-failure condition
- Update the incident-response runbook and any tooling gaps found",docs/multi-service-outage-game-day,- Run multi-service outage game-day simulating simultaneous indexer and oracle-service failure,docs: run multi-service outage game-day and update incident-response runbook
Enforce postmortem-filing SLA after each incident,"Stellar Wave, tooling","The shared postmortem-repository process needs enforcement, not just existence — currently nothing verifies a postmortem actually gets filed within a defined SLA after an incident, risking institutional knowledge loss exactly when it matters most.","- Define an explicit postmortem-filing SLA (e.g. within N business days of incident resolution)
- Add automated tracking that flags any incident without a filed postmortem once the SLA window passes
- Escalate overdue postmortems to a defined owner rather than letting them silently lapse
- Audit historical incidents for postmortem-filing compliance and backfill any critical gaps found",chore/postmortem-filing-sla-enforcement,- Add automated tracking and escalation enforcing a postmortem-filing SLA after every incident,chore: enforce postmortem-filing SLA with automated tracking and escalation
Run an RPC-node dependency failure drill validating protocol behavior when the primary Soroban RPC provider is unreachable,"Stellar Wave, tooling","The SDK's multi-endpoint failover (covered elsewhere in this batch) needs to be validated as an actual drill against a fully unreachable primary provider, at the protocol/system level, not just as an SDK unit test.","- Design a drill that makes the primary Soroban RPC provider fully unreachable from a staging deployment of all dependent services
- Verify the SDK failover, indexer behavior, and oracle-service behavior all degrade/recover as documented under this condition
- Record actual failover timing and any unexpected cascading failure
- Update relevant docs (`docs/sdk-trust-model.md`, `docs/incident-response.md`) with drill findings",docs/rpc-provider-outage-drill,- Run system-level drill validating protocol behavior under full primary-RPC-provider unavailability,"docs: run and document RPC-provider outage drill across SDK, indexer, and oracle-service"
Add automated data-loss detection that would have caught past near-miss incidents,"Stellar Wave, tooling","Past near-miss incidents likely revealed data-integrity risks that current monitoring wouldn't have caught proactively — this issue is to retroactively design detection that would have caught them, then deploy it going forward.","- Review incident/postmortem history for any near-miss involving data loss or corruption risk
- For each, design a concrete, automatable detection signal that would have surfaced it before or as it happened
- Implement and deploy the detection, wired into the alerting pipeline
- Document the detection coverage and its provenance from real incident history",feat/retroactive-data-loss-detection,- Design and deploy automated data-loss detection derived from past near-miss incident review,feat: add automated data-loss detection derived from past near-miss incidents
Run a cross-repo incident-escalation drill validating runbook routing between all three repos,"Stellar Wave, tooling","The cross-linked incident-response runbooks between this repo, the smart-contract repo, and the frontend repo need to be validated as actually routing an escalation correctly between teams/owners, not just cross-linked in documentation.","- Design a drill scenario whose root cause and correct ownership isn't obvious at first (to genuinely test escalation routing, not just execution of a known procedure)
- Run the drill with the on-call responders for at least two of the three repos participating
- Record any misrouting, ambiguity, or delay in the escalation path
- Update the cross-linked runbooks in all three repos with fixes found",docs/cross-repo-incident-escalation-drill,- Run cross-repo incident-escalation drill validating runbook routing across all three repos,docs: run cross-repo incident-escalation drill and update runbooks with findings
Audit backup retention and encryption-at-rest for all indexer and oracle-service persisted data,"Stellar Wave, research",Backup retention duration and encryption-at-rest configuration for all persisted state in the indexer and oracle-service needs a systematic audit ahead of mainnet and any external audit — this is a compliance and security baseline that shouldn't be assumed correct without verification.,"- Enumerate every persisted data store across indexer and oracle-service, including backups
- Verify encryption-at-rest is actually enabled and using an appropriate key-management setup for every store
- Verify backup retention duration matches documented policy (`docs/privacy.md` and any compliance requirements)
- Document findings and remediate any gap discovered",chore/backup-retention-encryption-audit,- Audit backup retention and encryption-at-rest for all indexer and oracle-service persisted data,chore: audit backup retention and encryption-at-rest for persisted service data
